TALX;TALY;TALZ
-56;24;2
-58;26;2
-56;26;2
-54;26;2
-52;26;2
-50;26;2
-48;26;2
-58;28;2
-58;30;2
-58;32;2
-58;34;2
-58;36;2
-56;36;2
-54;36;2
-52;36;2
-50;36;2
-56;38;2
-54;38;2
-54;16;4
-58;18;4
-56;18;4
-54;18;4
-52;18;4
-50;18;4
-48;18;4
-46;18;4
-44;18;4
-42;18;4
-60;20;4
-58;20;4
-48;20;4
-44;20;4
-42;20;4
-40;20;4
-60;22;4
-58;22;4
-40;22;4
-38;22;4
-60;24;4
-58;24;4
-38;24;4
-36;24;4
-58;26;4
-56;26;4
-54;26;4
-52;26;4
-50;26;4
-48;26;4
-58;28;4
-58;30;4
-58;32;4
-60;34;4
-58;34;4
-58;36;4
-56;36;4
-54;36;4
-52;36;4
-50;36;4
-56;38;4
-54;38;4
-48;0;6
-46;0;6
-54;16;6
-58;18;6
-56;18;6
-54;18;6
-52;18;6
-50;18;6
-48;18;6
-46;18;6
-44;18;6
-42;18;6
-60;20;6
-58;20;6
-48;20;6
-44;20;6
-42;20;6
-40;20;6
-60;22;6
-58;22;6
-40;22;6
-38;22;6
-60;24;6
-58;24;6
-38;24;6
-36;24;6
-34;24;6
-32;24;6
-30;24;6
-60;26;6
-58;26;6
-36;26;6
-34;26;6
-32;26;6
-60;28;6
-58;28;6
-58;30;6
-56;30;6
-54;30;6
-58;32;6
-56;32;6
-60;34;6
-58;34;6
-58;36;6
-58;38;6
-56;38;6
-54;38;6
-52;38;6
-50;38;6
-56;40;6
-54;40;6
-52;40;6
-48;0;8
-46;0;8
-44;2;8
-44;4;8
-62;6;8
-60;6;8
-42;6;8
-62;8;8
-60;8;8
-42;8;8
-40;8;8
-60;10;8
-58;10;8
-56;10;8
-54;10;8
-52;10;8
-50;10;8
-44;10;8
-42;10;8
-52;12;8
-50;12;8
-44;12;8
-58;14;8
-52;14;8
-50;14;8
-44;14;8
-42;14;8
-56;16;8
-52;16;8
-50;16;8
-44;16;8
-42;16;8
-58;18;8
-56;18;8
-52;18;8
-50;18;8
-48;18;8
-46;18;8
-44;18;8
-60;20;8
-58;20;8
-54;20;8
-52;20;8
-50;20;8
-48;20;8
-60;22;8
-52;22;8
-50;22;8
-46;22;8
-60;24;8
-54;24;8
-48;24;8
-60;26;8
-54;26;8
-52;26;8
-50;26;8
-60;28;8
-54;28;8
-52;28;8
-58;30;8
-56;40;8
-54;40;8
-52;40;8
-48;-2;10
